Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1456620.58,1369471.84,1456571.61,1369385.25,-48.96999999997206,-86.59000000008382,4,1633.12,1645.44,85391.75,85429.32
100/0 (TA ETF),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1462480.63,1371435.67,1462379.32,1371331.3,-101.30999999982305,-104.36999999987893,1,1445.48,1451.74,89285.0,89288.14
100/0 (TA ETF),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1471286.47,1376264.68,1471286.47,1376264.68,0.0,0.0,0,1284.98,1284.98,93251.54,93251.54
100/0 (TA ETF),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1472437.79,1377049.4,1473392.07,1377580.34,954.2800000000279,530.940000000177,3,1270.18,1306.39,93617.84,94040.75
100/0 (TA ETF),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1367874.56,1296341.04,1367874.56,1296341.04,0.0,0.0,0,1371.52,1371.52,69886.13,69886.13
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1359918.64,1290563.56,1359915.1,1290574.01,-3.5399999998044223,10.449999999953434,1,1509.28,1514.45,67717.08,67703.06
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1364703.59,1291941.99,1364703.59,1291941.99,0.0,0.0,0,1354.05,1354.05,71121.52,71121.52
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1370218.9,1294937.51,1370218.9,1294937.51,0.0,0.0,0,1267.38,1267.38,73634.78,73634.78
2-ETF (IVV/EFA),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1208830.82,1168888.99,1223008.3,1176071.04,14177.479999999981,7182.050000000047,2,1468.93,2389.98,38487.5,45469.66
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1219700.63,1180714.08,1238352.46,1188628.57,18651.830000000075,7914.489999999991,1,1506.85,2359.43,37512.81,48237.42
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1241288.36,1191301.43,1251746.87,1198645.51,10458.51000000001,7344.0800000000745,1,1198.56,2055.72,48497.38,51600.52
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1197273.44,1162408.88,1209781.28,1166527.01,12507.840000000084,4118.130000000121,3,1823.87,2685.41,33419.48,41802.73
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1203247.16,1164723.49,1220948.26,1174413.48,17701.100000000093,9689.98999999999,4,1557.67,2449.94,37075.22,45069.64
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1218219.74,1175132.96,1232142.18,1183381.54,13922.439999999944,8248.580000000075,2,1329.67,2318.18,41620.47,47282.07
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1218226.65,1176999.18,1234165.1,1185001.45,15938.450000000186,8002.270000000019,1,1444.07,2298.2,39759.33,47682.66
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1241288.36,1191301.43,1251746.87,1198645.51,10458.51000000001,7344.0800000000745,1,1198.56,2055.72,48497.38,51600.52
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1188687.39,1157232.26,1188903.17,1156287.46,215.78000000002794,-944.8000000000466,1,1501.27,1652.75,30016.68,31178.04
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1199164.7,1157653.05,1198530.93,1156278.03,-633.7700000000186,-1375.0200000000186,1,1198.56,1348.67,40072.65,40815.92
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1199164.7,1157653.05,1198530.93,1156278.03,-633.7700000000186,-1375.0200000000186,1,1198.56,1348.67,40072.65,40815.92
40/60 (TA ETF),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1164953.21,1135635.06,1166516.19,1135778.55,1562.9799999999814,143.4899999999907,13,1691.33,1870.65,27913.08,29330.32
40/60 (TA ETF),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1169536.43,1137483.51,1170637.0,1137390.23,1100.5700000000652,-93.28000000002794,4,1478.51,1644.21,30644.94,31837.29
40/60 (TA ETF),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1179812.38,1143888.39,1180970.01,1143799.51,1157.630000000121,-88.87999999988824,1,1323.63,1472.97,34503.31,35750.33
40/60 (TA ETF),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1176521.68,1143145.58,1177285.95,1142669.87,764.2700000000186,-475.70999999996275,2,1418.42,1576.92,31959.38,33198.89
40/60 (TA ETF),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1182949.36,1149245.95,1183211.65,1148324.0,262.2899999998044,-921.9499999999534,1,1420.81,1571.52,32276.98,33461.96
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2391697.24,2110325.57,2376332.54,2094193.55,-15364.700000000186,-16132.019999999786,10,1346.27,3780.04,278501.47,279288.65
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2465419.85,2169137.67,2550426.2,2233280.03,85006.3500000001,64142.35999999987,10,1198.56,3677.72,293323.68,314086.92
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2465419.85,2169137.67,2550426.2,2233280.03,85006.3500000001,64142.35999999987,10,1198.56,3677.72,293323.68,314086.92
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2291194.45,2050246.94,2267133.86,2025473.51,-24060.590000000317,-24773.429999999935,217,3394.68,8855.58,238189.29,238927.45
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2307663.1,2059990.18,2261668.22,2020942.71,-45994.87999999989,-39047.46999999997,106,2623.52,7468.57,244890.72,237996.07
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,2336313.58,2084109.74,2245355.39,2011492.35,-90958.18999999994,-72617.3899999999,42,2050.11,6313.63,249389.44,231160.14
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2333167.75,2076803.92,2237061.87,2019374.73,-96105.87999999989,-57429.189999999944,29,1705.34,8762.5,253558.86,215002.67
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2366407.24,2103273.8,2319682.53,2118642.26,-46724.71000000043,15368.459999999963,12,1656.83,6028.05,260275.64,198182.15
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2047826.11,1844487.49,2169969.76,1931272.58,122143.64999999967,86785.09000000008,6,1616.3,4646.31,200872.01,236093.21
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2079036.41,1864807.98,2204043.56,1958074.8,125007.15000000014,93266.82000000007,4,1444.94,4487.2,211727.04,243326.15
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2131964.09,1902773.2,2259482.88,2002846.21,127518.79000000004,100073.01000000001,3,1198.56,3999.87,226632.53,253926.55
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2013668.55,1824323.3,2113381.71,1886485.1,99713.15999999992,62161.80000000005,49,2776.29,6187.69,186920.98,224343.87
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2027634.57,1830421.83,2130279.96,1899793.0,102645.3899999999,69371.16999999993,26,2210.56,5680.53,194770.64,227913.83
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,2037548.66,1839480.58,2144004.27,1898878.12,106455.6100000001,59397.54000000004,13,1851.31,5294.98,195612.87,242537.6
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2078278.49,1875448.62,2203827.32,1958713.91,125548.82999999984,83265.2899999998,3,1762.1,4616.79,200313.63,242468.82
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2108237.98,1907141.07,2252006.34,1998059.84,143768.35999999987,90918.77000000002,3,1830.82,4694.0,198531.8,251242.78
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1665772.98,1568112.53,1795711.41,1648861.9,129938.42999999993,80749.36999999988,18,2823.06,6761.39,95639.15,144671.34
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1686283.75,1569712.82,1848488.22,1671312.56,162204.46999999997,101599.73999999999,8,1990.09,5844.54,114528.34,174946.62
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1781529.08,1634327.15,1936946.25,1735725.87,155417.16999999993,101398.7200000002,5,1666.35,5279.04,145046.71,198897.3
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,1617180.81,1531365.74,1704587.92,1586207.23,87407.10999999987,54841.48999999999,101,4704.66,9084.88,83854.39,116311.54
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1655187.66,1561864.28,1803036.61,1653138.94,147848.9500000002,91274.65999999992,44,3489.49,8172.54,91315.49,147715.1
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,1674750.21,1562519.63,1848940.59,1674575.03,174190.38000000012,112055.40000000014,17,2292.82,6607.92,110206.34,172145.78
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1669728.54,1556955.18,1833589.41,1662786.95,163860.86999999988,105831.77000000002,10,2054.08,5914.16,110756.48,168595.94
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1717159.01,1603915.61,1887507.2,1712067.74,170348.18999999994,108152.12999999989,7,2152.1,6228.73,111145.7,173164.33
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1417765.47,1340075.04,1398617.89,1318799.97,-19147.580000000075,-21275.070000000065,42,1547.46,6539.28,75978.67,78117.73
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1430780.59,1351648.85,1422601.29,1338518.07,-8179.300000000047,-13130.780000000028,28,1549.4,5316.8,77401.21,82354.15
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1527136.46,1419636.89,1550812.21,1425778.11,23675.75,6141.220000000205,26,1198.56,3876.14,105667.0,123174.38
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,1368158.83,1311688.34,1357428.39,1280965.99,-10730.440000000177,-30722.350000000093,467,3784.32,9364.31,54821.58,74824.71
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1389710.47,1329179.23,1379655.73,1304243.77,-10054.73999999999,-24935.459999999963,205,2866.76,9607.56,58853.28,73745.02
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,1387819.72,1324797.64,1373488.12,1296806.54,-14331.59999999986,-27991.09999999986,83,2047.31,7843.0,61348.54,75026.53
40/60 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1388808.44,1330312.4,1393775.1,1312302.84,4966.660000000149,-18009.559999999823,78,2292.88,6664.64,56820.62,79788.63
40/60 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1395915.26,1330759.49,1357167.93,1287869.79,-38747.330000000075,-42889.69999999995,57,1763.49,8172.75,63466.28,67669.54
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2386780.85,2109509.89,2470858.48,2169706.87,84077.62999999989,60196.97999999998,13,1371.64,3750.0,274401.99,298187.83
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2419993.59,2168188.24,2375075.99,2224083.1,-44917.59999999963,55894.85999999987,10,1993.58,7000.42,248845.09,147943.33
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2465419.85,2169137.67,2550426.2,2233280.03,85006.3500000001,64142.35999999987,10,1198.56,3677.72,293323.68,314086.92
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,2291194.45,2050246.94,2267133.86,2025473.51,-24060.590000000317,-24773.429999999935,217,3394.68,8855.58,238189.29,238927.45
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2307663.1,2059990.18,2261668.22,2020942.71,-45994.87999999989,-39047.46999999997,106,2623.52,7468.57,244890.72,237996.07
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,2336313.58,2084109.74,2245355.39,2011492.35,-90958.18999999994,-72617.3899999999,42,2050.11,6313.63,249389.44,231160.14
100/0 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2333858.89,2077330.86,2240109.51,2023022.37,-93749.38000000035,-54308.48999999999,27,1704.12,8535.01,253722.24,214399.01
100/0 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2359759.79,2099506.53,2306485.75,2092039.03,-53274.04000000004,-7467.499999999767,18,1669.52,6118.39,257403.27,211579.32
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2050572.42,1854714.65,2176832.9,1921494.1,126260.47999999998,66779.45000000019,6,1783.18,4980.08,193383.84,252716.35
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2082679.28,1863837.08,2194865.87,1951225.17,112186.59000000008,87388.08999999985,3,1362.59,4024.73,216342.28,241008.12
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2074771.03,1865344.08,2196183.3,1951729.2,121412.26999999979,86385.11999999988,5,1509.31,4816.38,206924.73,241819.94
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,2013668.55,1824323.3,2113381.71,1886485.1,99713.15999999992,62161.80000000005,49,2776.29,6187.69,186920.98,224343.87
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2027634.57,1830421.83,2130279.96,1899793.0,102645.3899999999,69371.16999999993,26,2210.56,5680.53,194770.64,227913.83
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,2037548.66,1839480.58,2144004.27,1898878.12,106455.6100000001,59397.54000000004,13,1851.31,5294.98,195612.87,242537.6
2-ETF (IVV/EFA),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2063906.59,1859878.2,2175542.04,1922796.63,111635.44999999995,62918.429999999935,4,1645.75,4557.92,201535.51,250124.73
2-ETF (IVV/EFA),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2097509.55,1875644.78,2219088.44,1970548.46,121578.89000000013,94903.67999999993,5,1282.29,4153.23,219346.42,245878.33
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1665772.98,1568112.53,1795711.41,1648861.9,129938.42999999993,80749.36999999988,18,2823.06,6761.39,95639.15,144671.34
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1682426.68,1566278.76,1845210.26,1668238.44,162783.58000000007,101959.67999999993,8,1995.36,5865.46,114110.09,174747.3
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1763961.65,1644010.81,1916546.42,1739160.94,152584.77000000002,95150.12999999989,8,2165.07,5979.4,117786.27,175054.7
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,1617180.81,1531365.74,1704587.92,1586207.23,87407.10999999987,54841.48999999999,101,4704.66,9084.88,83854.39,116311.54
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1655187.66,1561864.28,1803036.61,1653138.94,147848.9500000002,91274.65999999992,44,3489.49,8172.54,91315.49,147715.1
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,1674750.21,1562519.63,1848940.59,1674575.03,174190.38000000012,112055.40000000014,17,2292.82,6607.92,110206.34,172145.78
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1659846.8,1553453.42,1822976.98,1654633.01,163130.17999999993,101179.59000000008,8,2137.62,5973.74,104387.24,166141.91
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1715428.56,1601566.68,1884585.35,1708471.87,169156.79000000004,106905.19000000018,7,2132.44,6175.04,111767.17,173843.76
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1398786.48,1331442.57,1374557.97,1303780.23,-24228.51000000001,-27662.340000000084,51,1710.31,6773.32,65650.95,69120.95
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1460285.47,1369152.3,1442742.25,1342856.35,-17543.219999999972,-26295.949999999953,45,1353.01,4806.14,89376.4,98156.03
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1527136.46,1419636.89,1550812.21,1425778.11,23675.75,6141.220000000205,26,1198.56,3876.14,105667.0,123174.38
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,1368158.83,1311688.34,1357428.39,1280965.99,-10730.440000000177,-30722.350000000093,467,3784.32,9364.31,54821.58,74824.71
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1389710.47,1329179.23,1379655.73,1304243.77,-10054.73999999999,-24935.459999999963,205,2866.76,9607.56,58853.28,73745.02
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,1387819.72,1324797.64,1373488.12,1296806.54,-14331.59999999986,-27991.09999999986,83,2047.31,7843.0,61348.54,75026.53
40/60 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1379276.96,1321691.71,1379421.44,1300864.01,144.47999999998137,-20827.699999999953,74,2119.26,6351.4,55920.06,76891.58
40/60 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1398769.76,1333636.95,1385596.36,1314507.67,-13173.399999999907,-19129.280000000028,63,1777.08,6849.73,63436.93,69409.76
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Monthly,Monthly Rebal | No TLH,1715134.56,1577016.27,1724224.98,1577144.69,9090.419999999925,128.4199999999255,104,2409.56,3958.41,136054.36,145002.73
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1723012.08,1581010.99,1729712.66,1577152.3,6700.579999999842,-3858.689999999944,52,1992.75,3395.66,139925.9,150475.86
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Yearly,Yearly Rebal | No TLH,1737261.22,1591947.72,1755315.72,1595565.14,18054.5,3617.4199999999255,17,1639.49,2959.49,143222.58,157639.57
100/0 (TA ETF),Past 5Y (2021–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1741187.36,1597026.21,1753848.72,1594594.1,12661.35999999987,-2432.1099999998696,19,1630.26,2926.72,142065.36,157150.92
