Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Losses Harvested,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1522150.570000,0.522151,0.042977,0.079862,0.538100,-0.107479,8.956300,266.775400,0.017921,-1.278400,142644.462990,199390.300000,1140.000000,43483.550000,10730.711475,614.075074,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,1879763.240000,0.879763,0.065283,0.086335,0.756200,-0.125162,8.662000,249.127000,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1616030.440000,0.616030,0.049248,0.076962,0.639900,-0.116502,11.946200,393.866000,0.026155,-0.603800,82187.759974,30154.550000,18.000000,4192.530000,-53752.720119,0.000000,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,1841280.350000,0.841280,0.063077,0.083546,0.755000,-0.110113,9.564700,284.356100,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1522150.570000,0.522151,0.042977,0.079862,0.538100,-0.107479,8.956300,266.775400,0.015170,-1.268000,142644.462990,199390.300000,1140.000000,43483.550000,10730.711475,614.075074,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,Off,Monthly Rebal | No TLH,1797281.570000,0.797282,0.060504,0.079760,0.758600,-0.108818,7.830400,218.985900,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1508265.530000,0.508266,0.042020,0.076088,0.552300,-0.112676,8.881600,268.467300,0.016162,-1.097200,136160.581174,204818.520000,845.000000,41365.590000,-1289.451461,0.000000,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,1833684.420000,0.833684,0.062637,0.082774,0.756700,-0.107695,10.206500,307.555000,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1532198.460000,0.532198,0.043665,0.075054,0.581800,-0.105123,13.147700,438.889000,0.020168,-0.916500,126417.078193,161420.800000,324.000000,23582.390000,-35285.464566,0.000000,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,Off,Yearly Rebal | No TLH,1826211.270000,0.826211,0.062202,0.082439,0.754500,-0.112146,9.982100,299.715800,0.000000,0.000000,,,,,,,
